Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Cereal Killer Bistro,Anna Nagar ,['Fast Food',"['Fries', ' Pancakes', ' Healthy Breakfast', ' Sandwich', ' Chocolate Milk', ' Cereal Bowl', ' Continental Breakfast']",500,3.9,265,3.4,516,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']"
Cereal Killer Bistro,Anna Nagar , ' Healthy Food',"['Fries', ' Pancakes', ' Healthy Breakfast', ' Sandwich', ' Chocolate Milk', ' Cereal Bowl', ' Continental Breakfast']",500,3.9,265,3.4,516,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']"
Cereal Killer Bistro,Anna Nagar , ' Beverages'],"['Fries', ' Pancakes', ' Healthy Breakfast', ' Sandwich', ' Chocolate Milk', ' Cereal Bowl', ' Continental Breakfast']",500,3.9,265,3.4,516,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']"
Kolathur Kudumbam,Kolathur,['South Indian',['Panneer Butter Masala'],400,3.2,264,3.5,11500,"['Home Delivery', 'Indoor Seating']"
Kolathur Kudumbam,Kolathur, ' Chinese'],['Panneer Butter Masala'],400,3.2,264,3.5,11500,"['Home Delivery', 'Indoor Seating']"
Royal North Indian,Porur,['North Indian',['Butter Chicken'],400,4.0,308,4.0,12300,"['Home Delivery', 'Indoor Seating']"
Royal North Indian,Porur, ' Chinese',['Butter Chicken'],400,4.0,308,4.0,12300,"['Home Delivery', 'Indoor Seating']"
Royal North Indian,Porur, ' Fast Food',['Butter Chicken'],400,4.0,308,4.0,12300,"['Home Delivery', 'Indoor Seating']"
Royal North Indian,Porur, ' Biryani'],['Butter Chicken'],400,4.0,308,4.0,12300,"['Home Delivery', 'Indoor Seating']"
Frozen Bottle,Anna Nagar ,['Beverages',"['Berryblast', ' Dessert Jar', ' Kesar Badam', ' Chocolate Milkshake', ' Kit Kat Shake', ' Thick Shakes', ' Butterscotch Milk Shake']",350,3.7,261,4.2,1217,"['Home Delivery', 'Outdoor Seating', 'Desserts and Bakes']"
Frozen Bottle,Anna Nagar , ' Desserts',"['Berryblast', ' Dessert Jar', ' Kesar Badam', ' Chocolate Milkshake', ' Kit Kat Shake', ' Thick Shakes', ' Butterscotch Milk Shake']",350,3.7,261,4.2,1217,"['Home Delivery', 'Outdoor Seating', 'Desserts and Bakes']"
Frozen Bottle,Anna Nagar , ' Ice Cream'],"['Berryblast', ' Dessert Jar', ' Kesar Badam', ' Chocolate Milkshake', ' Kit Kat Shake', ' Thick Shakes', ' Butterscotch Milk Shake']",350,3.7,261,4.2,1217,"['Home Delivery', 'Outdoor Seating', 'Desserts and Bakes']"
Amala Chettinadu Mess,Anna Nagar ,['Chettinad',"['Chicken 65', ' Prawn', ' Chicken Pepper Fry', ' Paratha', ' Fish Fry', ' Mutton Chukka', ' Vanjaram Fry']",300,4.1,364,3.9,10300,"['Home Delivery', 'Catering Available', 'Indoor Seating']"
Amala Chettinadu Mess,Anna Nagar , ' South Indian',"['Chicken 65', ' Prawn', ' Chicken Pepper Fry', ' Paratha', ' Fish Fry', ' Mutton Chukka', ' Vanjaram Fry']",300,4.1,364,3.9,10300,"['Home Delivery', 'Catering Available', 'Indoor Seating']"
Amala Chettinadu Mess,Anna Nagar , ' Chinese'],"['Chicken 65', ' Prawn', ' Chicken Pepper Fry', ' Paratha', ' Fish Fry', ' Mutton Chukka', ' Vanjaram Fry']",300,4.1,364,3.9,10300,"['Home Delivery', 'Catering Available', 'Indoor Seating']"
Milkshake And Co.,Besant Nagar,['Beverages',"['Burgers', ' Fried Cheese', ' Peri Peri Fries', ' Thick Shakes', ' Lemonade', ' French Fries', ' Green Apple']",400,4.4,210,4.2,137,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Milkshake And Co.,Besant Nagar, ' Fast Food'],"['Burgers', ' Fried Cheese', ' Peri Peri Fries', ' Thick Shakes', ' Lemonade', ' French Fries', ' Green Apple']",400,4.4,210,4.2,137,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Hotel Millath,Royapettah,['Mangalorean',"['Paratha', ' Chicken Biryani', ' Kothu Parotta']",500,3.9,223,3.9,7705,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Hotel Millath,Royapettah, ' Chettinad'],"['Paratha', ' Chicken Biryani', ' Kothu Parotta']",500,3.9,223,3.9,7705,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Sri Godavari Ruchulu,Padur,['Andhra'],['Chicken Biryani'],350,3.9,458,3.5,6374,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Cheese N Freeze,Chromepet,['Fast Food',"['Pizza', ' Burgers', ' Fries', ' Brownie', ' White Pasta', ' Garlic Bread', ' Momos']",400,3.9,263,3.9,1773,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Table booking recommended']"
Cheese N Freeze,Chromepet, ' Pizza',"['Pizza', ' Burgers', ' Fries', ' Brownie', ' White Pasta', ' Garlic Bread', ' Momos']",400,3.9,263,3.9,1773,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Table booking recommended']"
Cheese N Freeze,Chromepet, ' Momos',"['Pizza', ' Burgers', ' Fries', ' Brownie', ' White Pasta', ' Garlic Bread', ' Momos']",400,3.9,263,3.9,1773,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Table booking recommended']"
Cheese N Freeze,Chromepet, ' Italian'],"['Pizza', ' Burgers', ' Fries', ' Brownie', ' White Pasta', ' Garlic Bread', ' Momos']",400,3.9,263,3.9,1773,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Table booking recommended']"
Brown House,Vandalur,['BBQ',"['Chicken Grill', ' Faluda', ' Chicken Noodle', ' Chicken Biryani', ' Momos', ' Shawarma', ' Chaat']",600,3.9,310,3.8,6391,"['Breakfast', 'Home Delivery', 'Outdoor Seating', 'Indoor Seating']"
Brown House,Vandalur, ' North Indian',"['Chicken Grill', ' Faluda', ' Chicken Noodle', ' Chicken Biryani', ' Momos', ' Shawarma', ' Chaat']",600,3.9,310,3.8,6391,"['Breakfast', 'Home Delivery', 'Outdoor Seating', 'Indoor Seating']"
Brown House,Vandalur, ' Mughlai',"['Chicken Grill', ' Faluda', ' Chicken Noodle', ' Chicken Biryani', ' Momos', ' Shawarma', ' Chaat']",600,3.9,310,3.8,6391,"['Breakfast', 'Home Delivery', 'Outdoor Seating', 'Indoor Seating']"
Brown House,Vandalur, ' Chinese',"['Chicken Grill', ' Faluda', ' Chicken Noodle', ' Chicken Biryani', ' Momos', ' Shawarma', ' Chaat']",600,3.9,310,3.8,6391,"['Breakfast', 'Home Delivery', 'Outdoor Seating', 'Indoor Seating']"
Brown House,Vandalur, ' Fast Food'],"['Chicken Grill', ' Faluda', ' Chicken Noodle', ' Chicken Biryani', ' Momos', ' Shawarma', ' Chaat']",600,3.9,310,3.8,6391,"['Breakfast', 'Home Delivery', 'Outdoor Seating', 'Indoor Seating']"
Sree Gupta Bhavan,GST Road,['North Indian',"['Chaat', ' Pav Bhaji', ' Panipuri', ' Chole Bhature', ' Dahipuri', ' Lassi', ' Faluda']",550,3.9,267,4.2,251,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Sree Gupta Bhavan,GST Road, ' Street Food',"['Chaat', ' Pav Bhaji', ' Panipuri', ' Chole Bhature', ' Dahipuri', ' Lassi', ' Faluda']",550,3.9,267,4.2,251,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Sree Gupta Bhavan,GST Road, ' Beverages',"['Chaat', ' Pav Bhaji', ' Panipuri', ' Chole Bhature', ' Dahipuri', ' Lassi', ' Faluda']",550,3.9,267,4.2,251,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Sree Gupta Bhavan,GST Road, ' Desserts'],"['Chaat', ' Pav Bhaji', ' Panipuri', ' Chole Bhature', ' Dahipuri', ' Lassi', ' Faluda']",550,3.9,267,4.2,251,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
High on Grills,Anna Nagar ,['North Indian',"['Malai Broccoli', ' Fish', ' Rabri', ' Mocktails', ' Veg Jalfrezi', ' Veg Platter', ' Sea Food']",850,4.0,168,3.4,111,"['Home Delivery', 'Rooftop']"
High on Grills,Anna Nagar , ' Mughlai'],"['Malai Broccoli', ' Fish', ' Rabri', ' Mocktails', ' Veg Jalfrezi', ' Veg Platter', ' Sea Food']",850,4.0,168,3.4,111,"['Home Delivery', 'Rooftop']"
Hungry Cars,Egatoor,['Asian',"['Dragon Chicken', ' Chop Suey', ' Phuket Fish', ' Chicken Noodle', ' American Chopsuey', ' Biryani', ' Honey Potato']",800,4.0,246,2.9,379,"['Home Delivery', 'Gaming Area', 'Outdoor Seating', 'Pool Table', 'Indoor Seating', 'Table booking recommended']"
Hungry Cars,Egatoor, ' Cafe',"['Dragon Chicken', ' Chop Suey', ' Phuket Fish', ' Chicken Noodle', ' American Chopsuey', ' Biryani', ' Honey Potato']",800,4.0,246,2.9,379,"['Home Delivery', 'Gaming Area', 'Outdoor Seating', 'Pool Table', 'Indoor Seating', 'Table booking recommended']"
Hungry Cars,Egatoor, ' South Indian',"['Dragon Chicken', ' Chop Suey', ' Phuket Fish', ' Chicken Noodle', ' American Chopsuey', ' Biryani', ' Honey Potato']",800,4.0,246,2.9,379,"['Home Delivery', 'Gaming Area', 'Outdoor Seating', 'Pool Table', 'Indoor Seating', 'Table booking recommended']"
Hungry Cars,Egatoor, ' Kebab',"['Dragon Chicken', ' Chop Suey', ' Phuket Fish', ' Chicken Noodle', ' American Chopsuey', ' Biryani', ' Honey Potato']",800,4.0,246,2.9,379,"['Home Delivery', 'Gaming Area', 'Outdoor Seating', 'Pool Table', 'Indoor Seating', 'Table booking recommended']"
Hungry Cars,Egatoor, ' Chinese',"['Dragon Chicken', ' Chop Suey', ' Phuket Fish', ' Chicken Noodle', ' American Chopsuey', ' Biryani', ' Honey Potato']",800,4.0,246,2.9,379,"['Home Delivery', 'Gaming Area', 'Outdoor Seating', 'Pool Table', 'Indoor Seating', 'Table booking recommended']"
Hungry Cars,Egatoor, ' Burger'],"['Dragon Chicken', ' Chop Suey', ' Phuket Fish', ' Chicken Noodle', ' American Chopsuey', ' Biryani', ' Honey Potato']",800,4.0,246,2.9,379,"['Home Delivery', 'Gaming Area', 'Outdoor Seating', 'Pool Table', 'Indoor Seating', 'Table booking recommended']"
Massbunk Restaurant,"Massbunk Complex, Purasavakkam",['Fast Food'],"['Pasta', ' Fries', ' Spaghetti', ' Cappuccino', ' Waffles', ' Nachos', ' Chocolate Icecreams']",500,4.0,250,3.5,277,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Serves Jain Food', 'Live Music', 'Vegan Options']"
M.A.D House,Kilpauk,['Italian',"['Cheese Burst Pizza', ' Peri Peri Pizza', ' Brownie', ' Peri Fries', ' Nachos', ' Mixed Sauce Pasta', ' Garlic Bread']",400,3.9,266,4.3,678,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
M.A.D House,Kilpauk, ' North Indian',"['Cheese Burst Pizza', ' Peri Peri Pizza', ' Brownie', ' Peri Fries', ' Nachos', ' Mixed Sauce Pasta', ' Garlic Bread']",400,3.9,266,4.3,678,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
M.A.D House,Kilpauk, ' Chinese'],"['Cheese Burst Pizza', ' Peri Peri Pizza', ' Brownie', ' Peri Fries', ' Nachos', ' Mixed Sauce Pasta', ' Garlic Bread']",400,3.9,266,4.3,678,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Pulusu,"OMR Food Street, Ambattur",['Andhra',"['Lassi', ' Fish Curry', ' Gongura Mutton', ' Hyderabadi Biryani', ' Pot Biryani', ' Mutton Pulusu']",700,4.2,322,3.7,8340,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Pulusu,"OMR Food Street, Ambattur", ' South Indian',"['Lassi', ' Fish Curry', ' Gongura Mutton', ' Hyderabadi Biryani', ' Pot Biryani', ' Mutton Pulusu']",700,4.2,322,3.7,8340,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Pulusu,"OMR Food Street, Ambattur", ' Biryani'],"['Lassi', ' Fish Curry', ' Gongura Mutton', ' Hyderabadi Biryani', ' Pot Biryani', ' Mutton Pulusu']",700,4.2,322,3.7,8340,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Bharani Veg,Thiruvanmiyur,['North Indian',"['Panneer Butter Masala', ' Vada', ' Butter Naan', ' Idiyappam', ' Sugarcane Juice', ' Coffee', ' Thali']",600,3.9,394,3.7,12,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Serves Jain Food', 'All Day Breakfast', 'Valet Parking Available']"
Bharani Veg,Thiruvanmiyur, ' South Indian',"['Panneer Butter Masala', ' Vada', ' Butter Naan', ' Idiyappam', ' Sugarcane Juice', ' Coffee', ' Thali']",600,3.9,394,3.7,12,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Serves Jain Food', 'All Day Breakfast', 'Valet Parking Available']"
Bharani Veg,Thiruvanmiyur, ' Chinese'],"['Panneer Butter Masala', ' Vada', ' Butter Naan', ' Idiyappam', ' Sugarcane Juice', ' Coffee', ' Thali']",600,3.9,394,3.7,12,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Serves Jain Food', 'All Day Breakfast', 'Valet Parking Available']"
Combo Kitchen,Ekkaduthangal,['Biryani',Invalid,400,4.0,147,3.6,1868,"['Home Delivery', 'Indoor Seating']"
Combo Kitchen,Ekkaduthangal, ' North Indian'],Invalid,400,4.0,147,3.6,1868,"['Home Delivery', 'Indoor Seating']"
The Chocolate Room,Anna Nagar ,['Cafe',"['Brownie', ' Hot Chocolate', ' Chocolate Pancakes', ' Waffles', ' French Fries', ' Sandwich', ' Cheese Fondue']",700,3.9,223,3.1,323,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required', 'Desserts and Bakes']"
The Chocolate Room,Anna Nagar , ' Mexican',"['Brownie', ' Hot Chocolate', ' Chocolate Pancakes', ' Waffles', ' French Fries', ' Sandwich', ' Cheese Fondue']",700,3.9,223,3.1,323,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required', 'Desserts and Bakes']"
The Chocolate Room,Anna Nagar , ' Italian',"['Brownie', ' Hot Chocolate', ' Chocolate Pancakes', ' Waffles', ' French Fries', ' Sandwich', ' Cheese Fondue']",700,3.9,223,3.1,323,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required', 'Desserts and Bakes']"
The Chocolate Room,Anna Nagar , ' Desserts',"['Brownie', ' Hot Chocolate', ' Chocolate Pancakes', ' Waffles', ' French Fries', ' Sandwich', ' Cheese Fondue']",700,3.9,223,3.1,323,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required', 'Desserts and Bakes']"
The Chocolate Room,Anna Nagar , ' Beverages'],"['Brownie', ' Hot Chocolate', ' Chocolate Pancakes', ' Waffles', ' French Fries', ' Sandwich', ' Cheese Fondue']",700,3.9,223,3.1,323,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required', 'Desserts and Bakes']"
Karaikudi Chettinadu Mess,Chromepet,['Chettinad',"['Biryani', ' Panneer Butter Masala']",550,3.5,233,3.7,13700,"['Home Delivery', 'Indoor Seating']"
Karaikudi Chettinadu Mess,Chromepet, ' Chinese',"['Biryani', ' Panneer Butter Masala']",550,3.5,233,3.7,13700,"['Home Delivery', 'Indoor Seating']"
Karaikudi Chettinadu Mess,Chromepet, ' South Indian'],"['Biryani', ' Panneer Butter Masala']",550,3.5,233,3.7,13700,"['Home Delivery', 'Indoor Seating']"
The Chennai Sandwich Shop,Ramapuram,['Sandwich',Invalid,250,4.1,441,3.3,3061,"['Home Delivery', 'Indoor Seating']"
The Chennai Sandwich Shop,Ramapuram, ' Fast Food',Invalid,250,4.1,441,3.3,3061,"['Home Delivery', 'Indoor Seating']"
The Chennai Sandwich Shop,Ramapuram, ' Street Food',Invalid,250,4.1,441,3.3,3061,"['Home Delivery', 'Indoor Seating']"
The Chennai Sandwich Shop,Ramapuram, ' Beverages'],Invalid,250,4.1,441,3.3,3061,"['Home Delivery', 'Indoor Seating']"
Rainbow Restaurant,T.Nagar,['North Indian',"['Biryani', ' Paratha', ' Malai Kebab', ' Noodle', ' Clear Soup', ' Panneer Butter Masala', ' Tandoori Chicken']",550,3.7,275,3.7,4056,"['Home Delivery', 'Indoor Seating']"
Rainbow Restaurant,T.Nagar, ' Kebab',"['Biryani', ' Paratha', ' Malai Kebab', ' Noodle', ' Clear Soup', ' Panneer Butter Masala', ' Tandoori Chicken']",550,3.7,275,3.7,4056,"['Home Delivery', 'Indoor Seating']"
